"Size","MyDCTTime (ms)","LibDCTTime (ms)","Ratio (Lib/My)"
"8","4.037700","0.458000","0.1134"
"16","0.858433","0.087033","0.1014"
"32","1.419400","0.318700","0.2245"
"64","4.136033","1.338700","0.3237"
"128","8.276567","1.125400","0.1360"
"256","103.362967","3.602300","0.0349"
"512","322.907067","6.514900","0.0202"
"1024","2326.390967","24.237533","0.0104"
"2048","14832.548400","19.769433","0.0013"
